Symbol,Last,Net Chg,Net Chg %,IV Rank,Volume,Beta,Div Yld,Corr SPY,Liquidity,IV Idx,Name,Exchg,Earnings At
AAL,14.15,0.00,0.00%,17.9,68.1K,1.08,,0.56,★★★★,52.5%,American Airlines Group Inc,NASDAQ,Apr 20
AAPL,162.03,0.00,0.00%,27.2,365K,1.27,0.64%,0.79,★★★★,32.0%,Apple Inc,NASDAQ,May 4
ABNB,112.60,0.00,0.00%,43.3,17.9K,1.16,,0.51,★★★☆,57.8%,Airbnb Inc Ordinary Shares - Class A,NASDAQ,May 2
ADBE,376.25,0.00,0.00%,5.1,4.06K,1.50,,0.75,★★☆☆,32.6%,Adobe Inc,NASDAQ,
ADNT,38.61,0.01,0.03%,24.8,0,2.88,,0.61,★★☆☆,55.1%,Adient PLC,NYSE,May 3
AL,39.26,-0.02,-0.05%,22.3,0,1.84,2.27%,0.66,★★☆☆,49.6%,Air Lease Corp Class A,NYSE,May 1
AMAT,116.50,0.00,0.00%,15.5,10.1K,1.59,1.56%,0.66,★★★☆,41.3%,Applied Materials Inc,NASDAQ,May 18
AMD,95.48,0.00,0.00%,27.8,328K,2.01,,0.57,★★★★,54.9%,Advanced Micro Devices Inc,NASDAQ,May 2
AMZN,102.17,0.00,0.00%,33.5,811K,1.24,,0.70,★★★★,48.2%,Amazon.com Inc,NASDAQ,Apr 27
AVGO,627.39,0.00,0.00%,6.0,1.11K,1.13,3.72%,0.71,★★☆☆,28.6%,Broadcom Inc,NASDAQ,May 25
BA,210.79,0.01,0.00%,15.5,32.5K,1.52,,0.62,★★★☆,38.3%,Boeing Co,NYSE,Apr 26
BABA,101.54,0.00,0.00%,22.1,344K,0.27,,0.27,★★★★,55.8%,Alibaba Group Holding Ltd DR,NYSE,May 25
BAC,27.93,-0.01,-0.02%,49.5,267K,1.39,2.75%,0.64,★★★★,43.7%,Bank of America Corp,NYSE,Apr 18
BIDU,139.00,0.00,0.00%,13.6,61.6K,0.67,,0.46,★★☆☆,52.1%,Baidu Inc ADR,NASDAQ,May 25
BYND,15.21,0.00,0.00%,7.9,5.50K,1.96,,0.49,★★★☆,109.9%,Beyond Meat Inc,NASDAQ,May 10
C,46.54,0.02,0.04%,33.9,17.0K,1.60,4.83%,0.64,★★★★,37.8%,Citigroup Inc,NYSE,Apr 14
CAT,215.56,0.03,0.02%,48.1,5.98K,1.08,2.51%,0.49,★★★☆,37.5%,Caterpillar Inc,NYSE,Apr 27
CLNE,4.47,0.00,0.00%,20.5,6.69K,2.01,,0.52,★★★☆,73.2%,Clean Energy Fuels Corp,NASDAQ,May 4
COF,95.22,0.00,0.00%,62.7,69,1.55,2.56%,0.70,★★☆☆,49.1%,Capital One Financial Corp,NYSE,Apr 27
COIN,66.13,0.00,0.00%,30.9,580K,2.63,,0.48,★★★☆,120.8%,Coinbase Global Inc Ordinary Shares - Class A,NASDAQ,May 9
COST,493.83,0.00,0.00%,2.1,1.36K,0.78,0.72%,0.59,★★☆☆,23.6%,Costco Wholesale Corp,NASDAQ,May 25
CP,75.76,-0.03,-0.04%,6.7,18,1.02,0.91%,0.46,★★★☆,27.4%,Canadian Pacific Railway Ltd,NYSE,Apr 26
CPE,36.44,0.00,0.00%,20.3,12,3.01,,0.45,★★☆☆,64.3%,Callon Petroleum Co,NYSE,May 3
CRM,191.48,-0.01,-0.01%,6.0,13.6K,1.22,,0.54,★★★☆,32.9%,Salesforce Inc,NYSE,May 30
CRON,1.91,0.00,0.00%,32.8,3.17K,1.17,,0.63,★★★☆,103.6%,Cronos Group Inc,NASDAQ,May 9
CRSR,17.78,0.00,0.00%,8.8,0,1.83,,0.59,★★★☆,56.5%,Corsair Gaming Inc Ordinary Shares,NASDAQ,May 4
